en,ig
1,"1"" (msgctxt: ""panel:showusername"") to ""1"
Log Out %s...,"mpụta na kọmputa1"" (msgctxt: ""panel:showusername"") to ""1"
Log out %s of this session to log in as a different user,Pụta n'agbanke a ka ịbanye dịka ojieme dị iche mọọbụ ịgbanyụcha kọmputa ahụ
Panel object type,Ụdị ọbjektị paneelụ
"The type of this panel object. Possible values are ""drawer-object"", ""menu-object"", ""launcher-object"", ""bonobo-applet"", ""action-applet"" and ""menu-bar"".","Ụdị paneelụ ọbjektị a. Valiu ndị dị mmenwu bụ ""drawer-object"", ""menu-object"", ""launcher-object"", ""bonobo-applet"", ""action-applet"" na ""menu-bar""."
Toplevel panel containing object,Tọplevụụl paneelụ nwere ọbjektị
The identifier of the toplevel panel which contains this object.,Ogosi nke paneelụ tọplevụụlụ nke nwere ọbjektị a n'ime ya.
Object's position on the panel,Ebe ọbjektị na paneelụ
The position of this panel object. The position is specified by the number of pixels from the left (or top if vertical) panel edge.,Ebe paneelụ ọbjektị a. Ezipụtara ebe ahụ site n'ọnụọgụgụ nke pikseelụ n'akaekpe (mọọbụ nke elu ma ọ bụrụ na ọ dị vatịkal) paneelụ.
Interpret position relative to bottom/right edge,Tụgharịa ebe n'akụkụ okpuru/akanri
"If true, the position of the object is interpreted relative to the right (or bottom if vertical) edge of the panel.","Ọ bụrụ na ọ bụ eziokwu, a ga-atụgharị ebe ọbjektị n'akụkụ akanri (mọọbụ n'okpuru ma ọ bụrụ na ọ dị vatikal) nke paneelụ ahụ."
Lock the object to the panel,Kpọchie ọbjektị na paneelụ ahụ
"If true, the user may not move the applet without first unlocking the object using the ""Unlock"" menuitem.","Ọ bụrụ na ọ bụ eziokwu, ojieme nwere ike ọ gaghị akpụgha apleetị n'ebughị ụzọ akpọpe ọbjektị ahụ n'iji ""Unlock"" menuitem."
Applet Bonobo IID,Apleetị IID Bonobo
"The Bonobo implementation ID of the applet - e.g. ""OAFIID:GNOME_ClockApplet"". This key is only relevant if the object_type key is ""bonobo-applet"".","ID nwepụta Bonobo nke apleetị - ọmụmatụ. ""OAFIID:GNOME_ClockApplet"". Kii a na-aba uru ma ọ bụrụ na kii object_type bụ ""bonobo-applet""."
Panel attached to drawer,Paneelụ agbakwunyere na drọwa
"The identifier of the panel attached to this drawer. This key is only relevant if the object_type key is ""drawer-object"".","Ògòsí nke paneelụ agbakwunyere na drọwa a. Kii a na-aba uru ma ọ bụrụ kii object_type bụ ""drawer-object""."
Tooltip displayed for drawer or menu,Egosiri tuultiip maka drọwa mọọbụ menu
"The text to display in a tooltip for this drawer or this menu. This key is only relevant if the object_type key is ""drawer-object"" or ""menu-object"".","Ngwe ahụ nke ga-egosi na tuultiipu maka drọwa a mọọbụ menu a. Kii a sọsọ bara uru ma ọ bụrụ na kii object_type bụ ""drawer-object"" mọọbụ ""menu-object""."
Use custom icon for object's button,Jiri aịkọn emeredịkachọrọ maka bọtịnị ọbjektị
"If true, the custom_icon key is used as a custom icon for the button. If false, the custom_icon key is ignored. This key is only relevant if the object_type key is ""menu-object"" or ""drawer-object"".","Ọ bụrụ na ọ bụ eziokwu, kii aịkọn_emeredịkachọrọ ka e weere dịka aịkọnụ emeredịkachọrọ maka bọtịnị ahụ. Ma ọ bụrụ na ọ bụ asị, a ga-eleghara aịkọnụ_emeredịkachọrọ anya. Kii a na-aba uru ma ọ bụrụ na kii ụdị_ọbjektị bụ ""menu-object"" mọọbụ ""drawer-object""."
Icon used for object's button,Aịkọn ejirila maka bọtịn ọbjektị
"The location of the image file used as the icon for the object's button. This key is only relevant if the object_type key is ""drawer-object"" or ""menu-object"" and the use_custom_icon key is true.","Ebe faịlụ inyogo ejiri dịka aịkọn maka bọtịnị ọbjektị. Kii a sọsọ na-aba uru ma ọ bụrụ na kii object_type bụ ""drawer-object"" mọọbụ ""menu-object"" nakwa kii use_custom_icon bụ eziokwu."
Use custom path for menu contents,JIri paatị emeredịkachọrọ maka menu ndịna
"If true, the menu_path key is used as the path from which the menu contents should be constructed. If false, the menu_path key is ignored. This key is only relevant if the object_type key is ""menu-object"".","Ọ bụrụ na ọ bụ eziokwu, ejiri kii menu_path dịka path nke a rụpụtara na ndịna menu. Ma ọ bụrụ na ọ bụ asị, a ga-eleghara kii menu_path anya. Kii a na-aba uru sọsọ ma ọ bụrụ na kii object_type bụ ""menu-object""."
Menu content path,Paatị ndịna menu
"The path from which the menu contents is contructed. This key is only relevant if the use_menu_path key is true and the object_type key is ""menu-object"".","Paatị ahụ nke e siri rụpụta ndịna menu. Kii a na-aba uru ma ọ bụrụ na kii use_menu_path bụ eziokwu nakwa kii object_type bụ ""menu- object""."
Launcher location,Ebe obubata
"The location of the .desktop file describing the launcher. This key is only relevant if the object_type key is ""launcher-object"".","Ebe desktọọpụ faịlụ nà-àkọ́wá obubata. Kii a na-aba uru ma ọ bụrụ na kii object_type bụ ""launcher-object""."
Action button type,Ụdị bọtịn mmem
"The action type this button represents. Possible values are ""lock"", ""logout"", ""run"", ""search"" and ""screenshot"". This key is only relevant if the object_type key is ""action-applet"".","Ụdị mmem bọtịnị a na-anọchi. Valiu ndị dị mmenwu bụ ""lock"", ""logout"", ""run"", ""search""screenshot"". Kii a na-aba uru ma ọ bụrụ na kii object_type bụ ""action-applet""."
Error reading GConf string value '%s': %s,Nwepụta ndehie GConf valiu ahịrị '%s': %s
Error reading GConf integer value '%s': %s,Nwepụta ndehieGConf valiu ịntiga '%s': %s
Panel '%s' is set to be displayed on screen %d which is not currently available. Not loading this panel.,E kpokọtara'%s' paneelụ ka o gosi n'inyogo %d nke na-adịbeghị mgbe ahụ. Anaghị edebanye paneelụ a.
Error reading GConf boolean value '%s': %s,Nwepụta ndehie GConf valiu boolean '%s': %sOrientation
Top,EluOrientation
Bottom,OkpuruOrientation
Left,AkaekpeOrientation
Right,Akanri
Drawer Properties,Akparamagwa paneelụ
Unable to load file '%s': %s.,Ndebata inyogo dàrà àdà %s
Panel Properties,Akparamagwa paneelụ
Some of these properties are locked down,Mkpọchi akparamagwa ụfọdụ ndị a
_Icon:,_Aịkọn:
pixels,pixels
_Size:,_Ụhara
_Orientation:,_Nduzi:
E_xpand,B_awanye
_Autohide,_Ozuzokeonwe
Show hide _buttons,Gosi _bọtịnị ndị e zoro ezo
Arro_ws on hide buttons,Ar_o nọ na bọtịnị ozuzo
_None (use system theme),_Onweghị (Jiri isiokwu sistem)
Solid c_olor,Ụcha _bụ̄ ákpụ̀
Pick a color,Họrọ ụcha
S_tyle:,Ụ_dị:
Co_lor:,Ục_ha:
Transparent,Kèánàhụ́ányā
Opaque,Kèánáhụ́chāghị́ányá
Background _image:,Inyogo _keokpuru:
Select background,Họrọ keokpuru
Background,Keokpuru
Image Background Details,Ndesịta mmem inyogo keokpuru
_Tile,_Taịlụ
_Scale,_Skeelụ
St_retch,Mg_batị
Rotate image when panel is _vertical,Tụgharịa inyogo mgbe paneelụ dị _vatịkal
"Could not open recently used document ""%s""",Emepenwughị dọkumenti nke ọfụụ ejirila rụọ ọrụ
"An unknown error occurred while trying to open ""%s"".",Ndehie a na-amaghị pụtara mgbe a na-achọ imepe %s
Clear the Recent Documents list?,Kpochapụ dọkụmenti nke ọfụụ?
"If you clear the Recent Documents list, you clear the following: • All items from the Places → Recent Documents menu item. • All items from the recent documents list in all applications.","Ọ bụrụ na ikpochapụ ndesịta dọkumenti ọfụụ ahụ, ikpochapụkwa ndị a n'esonụ̄: • Ihenhọrọ niile site n'ebe → ihenhọrọ menu dọkumenti nke ọfụụ. • Ihenhọrọ niile site na ndesịta dọkumenti ọfụụ n'usoroiheomume niile."
Clear Recent Documents,Kpochapụ dọkumenti ndị ọfụụ
Recent Documents,Dọkumenti ọfụụ
Clear Recent Documents...,Kpochapụ dọkumenti ndị ọfụụ
Clear all items from the recent documents list,Kpochapụ ihenhọrọ niile na ndesịta dọkumenti ọfụụ
Could not run command '%s',Enweghị ike ibubatanwu iwu '%s'
Could not convert '%s' from UTF-8,Enweghị ike ịtụgharịnwu '%s' site na UTF-8
Choose a file to append to the command...,Họrọ faịlụ ka ịgbakwunye n'iwu ahụ...
Select an application to view its description.,Họrọ usoroiheomume ka i gosi nkọwa ya.
Will run command: '%s',Ga-ebido iwu: '%s'
URI list dropped on run dialog had wrong format (%d) or length (%d),Ndesịta URI kwụsịrị na mbido dayalọọgụ nwere ájọ́ nhaziihe (%d) mọọbụ ogologo (%d)
Run Application,Bido Usoroiheomume
Command icon,Aịkọn iwu
The icon of the command to be run.,A ga-ebido aịkọn iwu.
Run in _terminal,Bido _ngwaọrụ mbupụ na mbubata ozi
Select this box to run the command in a terminal window.,Họrọ igbe a bido iwu na windo mbupụ na mbubata ozi.
Run with _file...,Bido ya na _faịlụ...
Click this button to browse for a file whose name to append to the command string.,Pịa bọtịnị a ka ịchọgharịa maka nke aha ya gbakwunyere n'iwu ahịrị ahụ.
List of known applications,Ndesịta usoroiheomume a na-amaghị
Show list of known _applications,Gosi ndesịta _usoroiheomume ndị ama
Click this button to run the selected application or the command in the command entry field.,Pịa bọtịnị a ka ibido usoroiheomume a họrọla mọọbụ iwu ahụ nọ n'ime fịldụ mbanye nke iwu.
_Force quit,_Nkwụsị n'ike
C_lear,K_pochapụ
D_on't Delete,E_hichakwala
Hide Panel,Zòó paneelụ
Top Expanded Edge Panel,Paneelụ elu abawanyere abawanye
Top Centered Panel,Paneelụ elu etiti
Top Floating Panel,Paneelụ ōsé n'elu
Top Edge Panel,Paneelụ ọnụ elu
Bottom Expanded Edge Panel,Paneelụ keokpuru abawanyere abawanye
Bottom Centered Panel,Paneelụ okpuru etiti
Bottom Floating Panel,Paneelụ ose n'okpuru
Bottom Edge Panel,Paneelụ okpuru
Left Expanded Edge Panel,Paneelụ akaekpe abawanyere abawanye
Left Centered Panel,Paneelụ akanri etiti
Left Floating Panel,Paneelụ ose n'akaekpe
Left Edge Panel,Paneelụ akaekpe
Right Expanded Edge Panel,Paneelụ akanri abawanyere abawanye
Right Centered Panel,Paneelụ etiti akanri
Right Floating Panel,Paneelụ ose n'akanri
Right Edge Panel,Paneelụ akanri
Name to identify panel,Aha ka ihụwa ama paneelụ
This is a human readable name which you can use to identify a panel. Its main purpose is to serve as the panel's window title which is useful when navigating between panels.,Nke a bụ aha mmadụ dị mma ọgụgụ nke ị ga-eji gosi paneelụ. Nkeisi ya bụ ịrụ orụ dịka isiokwu windo paneelụ nke bara uru mgbe a na-eme ngagharị na paneelụ ndị ahụ.
X screen where the panel is displayed,X screen ebe egosiri paneelụ ahụ
"With a multi-screen setup, you may have panels on each individual screen. This key identifies the current screen the panel is displayed on.","Tinyere nrụnye nke mọlti-skriin, inwere ike inwe paneelụ n'inyogo nke ọbụla. Kii a na-egosipụta inyogo ọfụụ ǹkè a na-egosi paneelụ na ya."
Xinerama monitor where the panel is displayed,Inyogo Xinerama ebe egosiri paneelụ ahụ
"In a Xinerama setup, you may have panels on each individual monitor. This key identifies the current monitor the panel is displayed on.","Na nrụnye nke Xinerama, inwere ike inwe paneelụ n;inyogo nke ọbụla. Kii a na-egosipụta inyogo nọ mgbe ahụ a ga-egosiwe paneelụ."
Expand to occupy entire screen width,Bawanye ka ị nọchie uhie inyogo niile
"If true, the panel will occupy the entire screen width (height if this is a vertical panel). In this mode the panel can only be placed at a screen edge. If false, the panel will only be large enough to accommodate the applets, launchers and buttons on the panel.","Ọ bụrụ na ọ bụ eziokwu, paneelụ ahụ ga-anọchị uhie inyogo niile ahụ (ógō ma ọ bụrụ na nke a bụ vatikal paneelụ). Ábị́á na moodu a ga-edogowe paneelụ sọsọ n'isi inyogo. Ọ bụrụ na ọ bụ asị, paneelụ ahụ ga-ebu ibu nke ibubataju apleetị ndị ahụ, obubata na bọtịn paneelụ."
Panel orientation,Nduzi paneelụ
"The orientation of the panel. Possible values are ""top"", ""bottom"", ""left"", ""right"". In expanded mode the key specifies which screen edge the panel is on. In un-expanded mode the difference between ""top"" and ""bottom"" is less important - both indicate that this is a horizontal panel - but still give a useful hint as to how some panel objects should behave. For example, on a ""top"" panel a menu button will pop up its menu below the panel, whereas on a ""bottom"" panel the menu will be popped up above the panel.","Ndụzi nke paneelụ. Valiu dị mmenwu bụ ""top"",""bottom"", ""left "", ""right"". Na moodu anabawanyeghị̤ abawanye adimiche n'etiti ""top"" na ""bottom "" abachaghị uru - ha abụọ na-egosi na nke a bụ paneelụ kwụ ọtọ - ma na-enye ozi bara uru dịka etu ụfọdụ ọbjektị paneelụ sị akpa agwa. Ọmụmatụ, na ""top""paneelụ bọtị̣nị menu ga-pọpụ ọpụ menu ya n'okpụrụ"
Panel size,Ụhara paneelụ
The height (width for a vertical panel) of the panel. The panel will determine at runtime a minimum size based on the font size and other indicators. The maximum size is fixed at one quarter of the screen height (or width).,Ogo (Uhie maka vatịkal paneelụ)nke paneelụ. paneelụ ahụ ga-ekwun'oge mbido ụhara nke àl̀à nke beeziri n'ụhara ihumkpụrụedemede nakwa ogosi ndị ọzọ. Ụhara nke elu ka emeziri n'otu mpaghara nke ogo inyogo (mọọbụ uhie).
X co-ordinate of panel,X co-ordinate nke paneelụ
The location of the panel along the x-axis. This key is only relevant in un-expanded mode. In expanded mode this key is ignored and the panel is placed at the screen edge specified by the orientation key.,Ebe paneelụ a n'ụzọ x axis. Kii a sọsọ bara uru na moodu ánábáwányéghị́ ábáwányé. Na moodu abawanyere abawanye a na-eleghara kii a anya nakwa a na-edogowe paneelụ a n'isi inyogo nke kii nduzi zipụtara.
Y co-ordinate of panel,Y co-ordinate nke paneelụ
The location of the panel along the y-axis. This key is only relevant in un-expanded mode. In expanded mode this key is ignored and the panel is placed at the screen edge specified by the orientation key.,Ebe paneelụ a n'ụzọ y axis. Kii a sọṣọ bara uru na moodu ánábáwányéghị́ ábáwányé. Na moodu abawanyere aaabawanye a na-eleghara kii a anya nakwa a na-edogowe paneelụ a n'isi inyogo nke kii nduzi zipụtara.
"The location of the panel along the x-axis, starting from the right of the screen. If set to -1, the value is ignored and the value of the x key is used. If the value is greater than 0, then the value of the x key is ignored. This key is only relevant in un-expanded mode. In expanded mode this key is ignored and the panel is placed at the screen edge specified by the orientation key.",Ebe paneelụ a n'ụzọ x axis. Kii a sọsọ bara uru na moodu ánábáwányéghị́ ábáwányé. Na moodu abawanyere abawanye a na-eleghara kii a anya nakwa a na-edogowe paneelụ a n'isi inyogo nke kii nduzi zipụtara.
"The location of the panel along the y-axis, starting from the bottom of the screen. If set to -1, the value is ignored and the value of the y key is used. If the value is greater than 0, then the value of the y key is ignored. This key is only relevant in un-expanded mode. In expanded mode this key is ignored and the panel is placed at the screen edge specified by the orientation key.",Ebe paneelụ a n'ụzọ y axis. Kii a sọṣọ bara uru na moodu ánábáwányéghị́ ábáwányé. Na moodu abawanyere aaabawanye a na-eleghara kii a anya nakwa a na-edogowe paneelụ a n'isi inyogo nke kii nduzi zipụtara.
Center panel on x-axis,Etiti paneelụ na x-axis
"If true, the x and x_right keys are ignored and the panel is placed at the center of the x-axis of the screen. If the panel is resized it will remain at that position - i.e. the panel will grow on both sides. If false, the x and x_right keys specify the location of the panel.","Ọ bụrụ na ọ bụ eziokwu, Eleghaara kii x anya ma degowe paneelụ ahụ n'etiti x axis nke inyogo. Ọ bụrụ na atụgharịrị ụhara ya ọ ga-adịkwa n'ebe ahụ - ya bụ na. paneelụ ahụ ga-eto na ha abụọ. Ọ bụrụ na ọ bụ asị̣, kii x ahụ ga-ezipụta ebe nke paneelụ."
Center panel on y-axis,Etiti paneelụ na y-axis
"If true, the y and y_bottom keys are ignored and the panel is placed at the center of the y-axis of the screen. If the panel is resized it will remain at that position - i.e. the panel will grow on both sides. If false, the y and y_bottom keys specify the location of the panel.","Ọ bụrụ na ọ bụ eziokwu, a ga-eleghara y kii ahụ anya ọ ga-anọkwa ebe ahụ - ya bụ na. paneelụ ahụ ga-eto na ha abụọ. Ọ bụrụ na ọ bụ asị, y kii ahụ ga-ezipụta ebe nke paneelụ."
Automatically hide panel into corner,O ji aka ya zóó paneelụ n'ime kọna
"If true, the panel is automatically hidden into a corner of the screen when the pointer leaves the panel area. Moving the pointer to that corner again will cause the panel to re-appear.","Ọ bụrụ na ọ bụ eziokwu, paneelụ ahụ ga-eji aka ya zóó onwe ya n'ime kọna nke inyogo ahụ mgbe pọịnta ahụ papụrụ mpaghara paneelụ. Ịkpụga pọịnta ahụ na kọna ahụ ọzọ ga eme ka paneelụ ahụ pụta-gharịa ọzọ."
"If true, hiding and un-hiding of this panel will be animated rather than happening instantly.","Ọ bụrụ na ọ bụ eziokwu, ozuzo na ezoghi ezo nke paneelụ a kà á gà-èmé n'ụdị ụmụanụmanụ kama ime ozugbo."
Enable hide buttons,Na-enye aka izo bọtịn
"If true, buttons will be placed on each side of the panel which may be used to move the panel to edge of the screen, leaving only a button showing.","Ọ bụrụ na ọ bụ eziokwu, a ga-edogowe bọtịn na mpaghara paneelụ nke ọbula nke a ga-eji kpụga paneelụ ahụ n'isi inyogo, hapụ otu bọtịn ka ọ ná-ègósí."
Enable arrows on hide buttons,Na-enyere aro aka na bọtịnị ozuzzo
"If true, arrows will be placed on the hide buttons. This key is only relevant if the enable_buttons key is true.","O bụrụ na ọ bụ eziokwu, a ga-edogowe aro ndị ahụ na bọtịnị ozuzo. Kii a sọsọ bara uru ma ọ bụrụ na kịị enable_buttons bụ eziokwu."
Panel autohide delay,Ogbugbu oge ozuzo nkeonwe nke paneelụ
Specifies the number of milliseconds delay after the pointer leaves the panel area before the panel is automatically hidden. This key is only relevant if the auto_hide key is true.,Na-ezipụta ọnụọgụgụ nke ọgbugbu oge milisekọds mgbe pọịnta hapụrụ mpaghara paneelụ tupuu paneelụ ejiri aka ya zogharịa onwe ya. Kii a sọsọ bara uru ma ọ bụrụ na kii auto_hide bụ eziokwu.
Panel autounhide delay,Ogbugbu oge ezoghiezo nkeonwe nke paneelụ
Specifies the number of milliseconds delay after the pointer enters the panel area before the panel is automatically re-shown. This key is only relevant if the auto_hide key is true.,Na-ezipụta ọnụọgụgụ nke ogbugbu oge nke milisekọnds mgbe pọịnta banyere na mpaghara paneelụ tupuu paneelụ ejiri aka ya gosigharịa onwe ya. Kii a sọsọ bara uru ma ọ bụrụ na kii auto_hide bụ eziokwu.
Visible pixels when hidden,Pikselụ ndị ahụrụ anya mgbe ezoro ya ezo
Specifies the number of pixels visible when the panel is automatically hidden into a corner. This key is only relevant if the auto_hide key is true.,Na-ezipụta ọnụọgụgụ nke mmebereinyogo ahụrụ anya mgbe paneelụ ji aka ya zoghzrịa onwe ya n'otu kọna. Kii a sọsọ bara uru ma ọ buru na kii auto_hide bụ eziokwu.
Animation speed,Anịmeshiọnụ ngwa ngwa
"The speed in which panel animations should occur. Possible values are ""slow"", ""medium"" and ""fast"". This key is only relevant if the enable_animations key is true.","Ụdị ọsịsọ nke paneelụ animeshiọn na-agba. Valiu dị mmenwu bụ ""slow "", ""medium"" na ""fast"". Kii a sọsọ na-aba uru ma ọ bụrụ na kii enable_animations bụ eziokwu."
Background type,Ụdị inyogo
"Which type of background should be used for this panel. Possible values are ""gtk"" - the default GTK+ widget background will be used, ""color"" - the color key will be used as background color or ""image"" - the image specified by the image key will be used as background.","Kedu ụdị okpuru nke a ga-eji maka paneelụ a. Valiu mmenwu bụ ""gtk"" - difọọltụ GTK ahụ+ a ga-eji wijeeti nke okpuru, ""color"" - a ga-eji kii ụcha ahụ dịka okpuru ụcha mọọbụ ""image"" - egosipụtara inyogo site na kii inyogo a ga-eji ya dịka okpuru."
Background color,Ucha okpuru
Specifies the background color for the panel in #RGB format.,Na-ezipụta ụcha okpuru maka paneelụ ahụ na nhazi nke #RGB.
Background color opacity,Okpuru ucha kèánāhụ́chāghị́ányá
"Specifies the opacity of the background color format. If the color is not completely opaque (a value of less than 65535), the color will be composited onto the desktop background image.","Na-ezipụta nhazi ụcha okpuru nke ánāhụ́chāghị́ányá. Ọ bụrụ na ụcha ahụ na-ahughị ya anya kpamkpam (valiu nke les dan 65535), a ga-ahazi ụcha ahụ n'inyogo okpuru desktọọpụ."
Background image,Inyogo okpuru
Specifies the file to be used for the background image. If the image contains an alpha channel it will be composited onto the desktop background image.,Na-ezipụta faịlụ ka ejiri ya maka inyogo okpuru. Ọ bụrụ na inyogo ahụ nwere alpha channel a ga-ahazi ya n'okpuru inyogo desktọọpụ.
Fit image to panel,Fiitie inyogo na paneelụ
"If true, the image will be scaled (retaining the aspect ratio of the image) to the panel height (if horizontal).","Ọ bụrụ na ọ bụ eziokwu, a ga-skeelụ inyogo (desagharia aspektị reshio nke inyogo) n'ogo paneelụ (ma ọ bụrụ na ọkwụ ogologo)."
Stretch image to panel,Gbatịa inyogo na paneelụ
"If true, the image will be scaled to the panel dimensions. The aspect ratio of the image will not be maintained.","Ọ bụrụ na ọ bụ eziokwu, a ga-skeelụ mpaghara paneelụ. Agaghị ajikwa aspektị reshio nke inyogo."
Rotate image on vertical panels,Tụgharịa inyogo na vatịkal paneelụ
"If true, the background image will be rotated when the panel is oriented vertically.","Ọ bụrụ na ọ bụ eziokwu, a ga-atụgharị inyogo okpuru mgbe eduziri paneelụ vatikali."
Icon '%s' not found,Achọtaghị aịkọn
Could not execute '%s',Agaghị emepụtanwu '%s'
file,_Taịlụ
Search,Trash: some-directorysome-directory
%1$s: %2$s,"%1$s, %2$s"
Open URL: %s,Mepee URL: %s
Delete this drawer?,Hichaa drọwa a?
"When a drawer is deleted, the drawer and its settings are lost.","Mgbe ehichara drọwa, drọwa na nhazi ya ga-efu."
Delete this panel?,Hichaa paneelụ a?
"When a panel is deleted, the panel and its settings are lost.","Mgbe ehichara paneelụ, paneelụ na nhazi ya ga-efu."
Test Bonobo Applet Factory,Nwalee ụlọọrụ Bonobo apleetị
Test Bonobo Applet,Nwalee Bonobo apleetị
A simple applet for testing the GNOME-2.0 panel,Apleetị dị mfe maka inwale GNOME-2.0 panel
Specify an applet IID to load,Zipụta apleetị IID ahụ ka odebata
Specify a gconf location in which the applet preferences should be stored,Zipụta ebe gconf nke a ga-echekwa apleetị nkarachọ
"Specify the initial size of the applet (xx-small, medium, large etc.)","Zipụta ụhara ochie nke apleetị (xx-obere, nhatanha, ibu dgz.)"
"Specify the initial orientation of the applet (top, bottom, left or right)","Zipụta nduzi nke ochie nke apleetị (elu, àlá àlà, akaekpe mọọbụ akanri)Size"
XX Small,XX smallSize
X Small,X smallSize
Small,ObereSize
Medium,NhatanhaSize
Large,IbuSize
X Large,X LargeSize
XX Large,XX Large
Failed to load applet %s,Ndebata inyogo dàrà àdà %s
Test applet utility,Nnwale ezi ngwaọrụ apleetị
_Applet:,_Apleetị:
_Prefs Dir:,_Prefs Dir:
The use of this key was deprecated in GNOME 2.28 in favour of the use of timezones. The schema is retained for compatibility with older versions.,N'iji Kii a kà édìprìkéètìrì na GNOME 2.6 n'uru nke Kii 'nhazi'. Edesara Ndesita atụmatụ a maka nrụkọrụ ya na agba nke ochie.
Specify file containing saved configuration,Apleetị ahụ nke nwere nduzi paneelụ
Choose an icon,Bido usoroiheomume...
"Specify the initial orientation of the applet (top, bottom, left or right)","Zipụta nduzi nke ochie nke apleetị (elu, àlá àlà, akaekpe mọọbụ akanri)Orientation"
Right,AkanriSize
"The type of this panel object. Possible values are ""drawer-object"", ""menu-object"", ""launcher-object"", ""external-applet"", ""action-applet"", ""menu-bar"" and ""separator"".","Ụdị paneelụ ọbjektị a. Valiu ndị dị mmenwu bụ ""drawer-object"", ""menu-object"", ""launcher-object"", ""bonobo-applet"", ""action-applet"" na ""menu-bar""."
"This key is deprecated, following the migration to a new library for applets. The Bonobo implementation ID of the applet - e.g. ""OAFIID:GNOME_ClockApplet"". This key is only relevant if the object_type key is ""bonobo-applet"".","ID nwepụta Bonobo nke apleetị - ọmụmatụ. ""OAFIID:GNOME_ClockApplet"". Kii a na-aba uru ma ọ bụrụ na kii object_type bụ ""bonobo-applet""."
Applet IID,Apleetị IID Bonobo
"The implementation ID of the applet - e.g. ""ClockAppletFactory::ClockApplet"". This key is only relevant if the object_type key is ""external-applet"" (or the deprecated ""bonobo-applet"").","ID nwepụta Bonobo nke apleetị - ọmụmatụ. ""OAFIID:GNOME_ClockApplet"". Kii a na-aba uru ma ọ bụrụ na kii object_type bụ ""bonobo-applet""."
Error reading GConf boolean value '%s': %s,Nwepụta ndehie GConf valiu boolean '%s': %s
Failed to open the time settings,Nnweta pixmap dara ada %s
Custom _format:,"Emeredịkachọrị _nhaziihe:state"" or ""province"" should use that instead of ""region"
Factory for clock applet,Ụlọọrụ maka ikepụta elekere apleetị.
Factory for notification area,Paneelụ mpaghara ebe ọmụmaọkwa
"A list of panel object IDs. Each ID identifies an individual panel object (e.g. an applet, launcher, action button or menu button/bar). The settings for each of these objects are stored in /apps/panel/objects/$(id).","Ndesịta IDs ọbjektị paneelụ. ID nke ọbụla na-egosi ọbjektị paneelụ (ọmụmatụ obubata, bọtịnị mmem mọọbụ bọtịnị menu/bar). Nhazi maka ọbjektị ndị a ka echekwara na /apps/panel/objects/$(id)."
"History of ""Run Application"" dialog","N'ekwe ndesịta program na ""Bido usoroiheomume""dayalọọgụ"
"The list of commands used in the past in the ""Run Application"" dialog.","N'ekwe ngwụcha keonwe na ""Bido usoroiheomume""dayalọọgụ"
Tooltip displayed for menu,Egosiri tuultiip maka drọwa mọọbụ menu
Icon used for button,Aịkọn ejirila maka bọtịn ọbjektị
"The location of the image file used as the icon for the object's button. If empty, the default icon for the menu will be used.","Ebe faịlụ inyogo ejiri dịka aịkọn maka bọtịnị ọbjektị. Kii a sọsọ na-aba uru ma ọ bụrụ na kii object_type bụ ""drawer-object"" mọọbụ ""menu-object"" nakwa kii use_custom_icon bụ eziokwu."
"The path from which the menu contents is contructed. If empty, the menu will be the default applications menu.","Paatị ahụ nke e siri rụpụta ndịna menu. Kii a na-aba uru ma ọ bụrụ na kii use_menu_path bụ eziokwu nakwa kii object_type bụ ""menu- object""."
"If set to 'end', the position of the object is interpreted relative to the right (or bottom if vertical) edge of the panel.","Ọ bụrụ na ọ bụ eziokwu, a ga-atụgharị ebe ọbjektị n'akụkụ akanri (mọọbụ n'okpuru ma ọ bụrụ na ọ dị vatikal) nke paneelụ ahụ."
"Which type of background should be used for this panel. Possible values are ""none"" - the default GTK+ widget background will be used, ""color"" - the color key will be used as background color or ""image"" - the image specified by the image key will be used as background.","Kedu ụdị okpuru nke a ga-eji maka paneelụ a. Valiu mmenwu bụ ""gtk"" - difọọltụ GTK ahụ+ a ga-eji wijeeti nke okpuru, ""color"" - a ga-eji kii ụcha ahụ dịka okpuru ụcha mọọbụ ""image"" - egosipụtara inyogo site na kii inyogo a ga-eji ya dịka okpuru."
Image options,Inyogo
"Launcher location is not set, cannot load launcher","Ekpokọtaghị kii %s, agaghị edebata obubata"
Connect to server,Sụnye na Sava...
User Menu,Menu
Cannot create initial panel layout.,Hichaa paneelụ a?
Switch User,Omembanye
Computer,Elekere Kọmputa
Network,Ebe ikukumgbasaozi
Places,EbeOrientation
Test DBus Applet Factory,Nwalee ụlọọrụ Bonobo apleetị
Factory for Test DBus Applet,Ụlọọrụ maka ikepụta elekere apleetị.
Test DBus Applet,Nwalee Bonobo apleetị
A simple applet for testing the GNOME panel,Apleetị dị mfe maka inwale GNOME-2.0 panel
Calendar,Kalenda%%s
Copy Date and _Time,Debata _Oge
Log Out,mpụta na kọmputa
Open your personal folder,Mepee desktọọpụ ahụ dịka nsomebe faịlụ
Network Places,Ebe ikukumgbasaoziDesktop FolderDesktop Folder
_Delete,E_hichakwala
Select Command,Mbido Iwu
Add Startup Program,Tinye mbido program
Edit Startup Program,Dezie mbido program
The startup command cannot be empty,Mbido iwu ahụ agaghị eghenwu oghe
The startup command is not valid,Mbido iwu ahụ agaghị eghenwu oghe
