,en,ig
3426,meal,azị
3427,lunch,azị efịfịe
3428,breakfast:,azị ụtụtụ
3429,I am eating my breakfast,Ana m agba azị ụtụtụ
3430,eat a meal,gba azị
3431,see azịzaa,azịịzaa
3432,see azịzaa,azịzaa
3433,brush,azịza
3434,small broom made of midrib of palm-frond,azịza
3435,used by girls,azịza
3436,brush,ṅzịza
3437,small broom made of midrib of palm-frond,ṅzịza
3438,used by girls,ṅzịza
3439,beam of light,azịza anyaanwụ
3440,broom,ụkwụ azịza
3441,broom,za
3442,answer,azịza
3443,reply,azịza
3444,answer query,za azịza
3445,answer query,za
3446,swelling,azịzaa
3447,swelling,azịịzaa
3448,boil,azịzaa
3449,boil,azịịzaa
3450,swelling,za
3451,boil,za
3452,struggling for,azo
3453,back,azu
3454,fish,azu
3455,down town,azu obodo
3456,fish,azụ
3457,fresh fish,azụ ndụ
3458,stockfish,azụ nkụ
3459,stockfish,okpọloko
3460,fish caught with hook,azụ ukpoọ
3461,dry fish,mị azụ
3462,scales of fish,azụukpoọ
3463,the back,azụ
3464,behind,azụ
3465,outside,azụ
3466,absence of,azụ
3467,back of the hand,azụ aka
3468,hypocrisy,azụ aka
3469,carved iroko panel in door or wall,azụ ọjị
3470,bribery,aka azụ
3471,come last,bịakpe azụ
3472,come after,bịa n'azụ
3473,retreat,chịgha azụ
3474,fall back,dachịgha azụ
3475,rebound,dachịgha azụ
3476,backslide,dachịgha azụ
3477,be retrogressive,ga azụ
3478,not making progress,ga azụ
3479,Onyeka used to do well in his studies last year,Onyeka na-eme ọfụma n'akwụkwọ ya n'arọgalụ aga
3480,Onyeka used to do well in his studies last year,makịtaa ọ na-aga azụ
3481,but now he is not making progress.,Onyeka na-eme ọfụma n'akwụkwọ ya n'arọgalụ aga
3482,but now he is not making progress.,makịtaa ọ na-aga azụ
3483,turn back,gbakụta azụ
3484,desert,gbakụta azụ
3485,neglect,gbakụta azụ
3486,turn around,ghalị azụ
3487,go back,ghalị azụ
3488,the last,ịkpe azụ
3489,the last thing,ife ịkpe azụ
3490,the last time,oge ịkpe azụ
3491,at the end of the time,oge ịkpe azụ
3492,at the end of the world,oge ịkpe azụ
3493,the day of judgement,ụbọsị ịkpe azụ
3494,the last day,ụbọsị ịkpe azụ
3495,backwards and forwards,iru na azụ
3496,up and down,iru na azụ
3497,to and fro,iru na azụ
3498,be last,kpe azụ
3499,bring up the rear,kpe azụ
3500,slander,kwu okwu azụ
3501,backbite,kwu okwu azụ
3502,lag,na azụ
3503,dwindle,na azụ
3504,behind,n'azụ
3505,at the back of,n'azụ
3506,in the absence of,n'azụ
3507,I don't want this dance staged in my absence.,achọrọm ka a gbaa egwu a n'azụ m
3508,posterior fontanelle,ọpụnụ isi azụ
3509,backbone,ọkpụkpụ azụ
3510,walk in single file,sọchi ibe n'azụ
3511,follow immediately behind each other or behind companions,sọchi ibe n'azụ
3512,follow immediately after,sọchi n'azụ
3513,disciples,ụmụ azụ
3514,followers,ụmụ azụ
3515,cold in the head,azụzụ
3516,catarrh,azụzụ
3517,be many,ba
3518,plenty,ba
3519,much,ba
3520,abundant,ba
3521,numerous,ba
3522,increase in number,ba
3523,multiply,ba
3524,grow rich,ba
3525,wealthy,ba
3526,be many,ba aba
3527,be very plentiful,bachi
3528,His offspring fill the house,Ụmụ ya bach� ụnọ
3529,grow rich,ba ọgalanya
3530,become wealthy,ba ọgalanya
3531,Chukwuma has grown rich,Chukwuma abago ọgalanya
3532,develop into sore or ulcer,ba ọnya
3533,be wealthy:,barị
3534,He has become wealthy,Ọ barịgo
3535,be many,ba ụba
3536,multiply,ba ụba
3537,increase,ba ụba
3538,He has many children,Ụmụ ya balụ ụba
3539,be rich,Ụmụ ya balụ ụba
3540,wealthy,Ụmụ ya balụ ụba
3541,They are rich,Fa balụ ụba
3542,increase,bawanye
3543,We have increased,anyị abawanyego
3544,plentifulness,ụba
3545,increase,ụba
3546,wealth,ụba
3547,riches,ụba
3548,plentifulness,akụ
3549,increase,akụ
3550,wealth,akụ
3551,riches,akụ
3552,plentifulness,ori akụ
3553,increase,ori akụ
3554,wealth,ori akụ
3555,riches,ori akụ
3556,shout at,ba
3557,rebuke,ba
3558,chide,ba
3559,scold,ba
3560,scold,ba mba
3561,He scolded him,Ọ baalị ya mba
3562,peel,ba
3563,He is peeling yams,Ọ na-aba ji
3564,peel completely,bachapụ
3565,break,ba
3566,That pot is not strong,Ịte afụ akarọ aka
3567,That pot is not strong,ọ ga-aba ma ị tanye mmili n�ime ya
3568,it will break if you pour water into it,Ịte afụ akarọ aka
3569,it will break if you pour water into it,ọ ga-aba ma ị tanye mmili n�ime ya
3570,breaking,ọbụba
3571,be,ba/be
3572,begin and continue,ba/be
3573,Be working,Lụba ọlụ
3574,Do you want me to be crying?,Ị chọ ka m bebe akwa?
3575,at,ba/be
3576,on,ba/be
3577,against,ba/be
3578,lean against,dabe
3579,The tree we cut down is being supported by the iroko,Osisi anyị gbụlu dabeelụ n�ọjị
3580,put on,dọba
3581,at,dọba
3582,Put that water on the floor,Dọba mmili afụ n�anị
3583,lean against,gbabe
3584,place against,kwụba
3585,causative,ba/be
3586,make something lean against something,gbabebe
3587,make something lean against something,gbabe
3588,put clothes on someone,yibe
3589,put clothes on someone,yi
3590,away from,ba/be
3591,go away to fetch,chụbe
3592,go away,gaba
3593,go away,jebe
3594,enter,ba
3595,go in,baa
3596,entrance,ọb ụba
3597,entry,ọb ụba
3598,initiation,ọb ụba
3599,be useful,ba elele
3600,profit,ba elele
3601,benefit,ba elele
3602,This work is not useful,Ọlụ a abarọ elele
3603,This work is not useful,ba n�ife
3604,This work is not useful,ba ulụ
3605,enter together,bakọ
3606,be about to enter,bakọ
3607,be profitable to,balụ
3608,be source of gain to,balụ
3609,you have profited from it,ọ bagolụ ị
3610,enter deeply into,bamị
3611,intoxicate,ba n�anya
3612,This wine intoxicates me,Mmanya a ba m n�anya
3613,be useful,ba n�ife
3614,profit,ba n�ife
3615,benefit,ba n�ife
3616,be useful,ba elele
3617,be useful,ba ulụ
3618,profit,ba elele
3619,profit,ba ulụ
3620,benefit,ba elele
3621,benefit,ba ulụ
3622,enter into mask,ba n�ime awọlọ
3623,wear mask,ba n�ime awọlọ
3624,join,banye
3625,enter,banye
3626,go in,banye
3627,crossroads,ụzọ mbanye
3628,street corner,ụzọ mbanye
3629,join,banyelụ okwu
3630,intervene,banyelụ okwu
3631,in a discussion,banyelụ okwu
3632,be stale,ba ọla
3633,enter,bata
3634,come in,bata
3635,be useful,ba ulụ
3636,profit,ba ulụ
3637,benefit,ba ulụ
3638,be useful,ba n�ife
3639,be useful,ba elele
3640,profit,ba n�ife
3641,profit,ba elele
3642,benefit,ba n�ife
3643,benefit,ba elele
3644,court of a native house,ezi ịba
3645,soak,ba
3646,soak,baba
3647,soak in,banye
3648,soak cassava,banye akpụ
3649,soak cloths,banye akwa
3650,name,ba afa
3651,give a name,ba afa
3652,giving a name,ọbụba afa
3653,enter,bata
3654,peel,ba-cha
3655,pare,ba-cha
3656,peel,be-cha
3657,pare,be-cha
3658,about,banyelụ
3659,concerning:,banyelụ
3660,I want to inquire something about him,Achọ m ịjụt a ife banyelụ ya
3661,bicycle,basịkụlụ
3662,bicycle,igwe
3663,bicycle,ọkpọle
3664,bicycle,anyịnya igwe
3665,batteries,batiri
3666,home,be
3667,dwelling,be
3668,He is at home,Ọ nọ na be ya
3669,he is in,Ọ nọ na be ya
3670,my house,be m
3671,home,be m
3672,household,ndi be
3673,people of the house,ndi be
3674,fellow townsfolk,ndi be
3675,cry out,be
3676,He is crying like a goat,Ọ na-ebe ka ewu
3677,crying,ọbube
3678,cry,be akwa
3679,mourn,be alịlị
3680,lament,be alịlị
3681,appeal to,bekụ
3682,implore,bekụ
3683,cry to,bekụ
3684,cry to,bekwasị akwa
3685,plead to,bekwasị akwa
3686,cry in death-agony,be ọnwụ onwụ
3687,That is enough,Ka o be nọọfụ
3688,It is more than this,Ọ berọetu a
3689,Is it only this? Is this all?,ọ bụetu a ka o belụ?
3690,cut,be
3691,stop:,be
3692,ending,ọbụbe
3693,stopping,ọbụbe
3694,everlasting,ụwa ebe ebe
3695,for ever and ever,ụwa ebe ebe
3696,personal name,Beelụchi
3697,personal name,Beelụchukwu
3698,only if,beelụ ma
3699,unless,beelụ ma
3700,I will come only if you will come,Aga m abịa beelụ ma ị bịa
3701,Unless you do this,Beelụ ma ị me ife a m ama abịa
3702,I will not come,Beelụ ma ị me ife a m ama abịa
3703,except:,beelụ sọ
3704,All the people came except me,Mmadụ niine bịasị
3705,All the people came except me,beelụ sọ m
3706,cut down,beji
3707,cut out,beka
3708,cut into,beka
3709,cut part of,bekalụ
3710,cut part and give,bekanye
3711,cut off,bekapụ
3712,He cut off  hand,O bekapụlị aka
3713,cut to pieces from,bekapụta
3714,cut together,bekọ
3715,cut into pieces,belị
3716,subtract,belụ
3717,deduct,belụ
3718,lessen,benata
3719,reduce:,benata
3720,Reduce the price for me,Benatalụ m egọ
3721,His illness has abated,Arụ na-aya ya ebenatago
3722,he is convalescing,Arụ na-aya ya ebenatago
3723,I hope she is improving,Ejị m aka na ọ na-ebenata ya
3724,cut short,be nkenke
3725,shorten,be nkenke
3726,abbreviate,be nkenke
3727,cut up food for eating,be nni
3728,cut and give,benye
3729,join,benyelụ okwu
3730,intervene,benyelụ okwu
3731,in a discussion,benyelụ okwu
3732,settle a dispute,be okwu
3733,cut off,bepụ
3734,circumcise,be ugwụ
3735,The pot of wine is no longer full,Mmanya ebego ugwụ
3736,endless,ebe ebe
3737,everlasting life,ndụ ebe ebe
3738,handful of food,mbe aka nni
3739,handful of food,akpu
3740,perch,be
3741,settle,be
3742,perch on,bedo
3743,perch on top of,begolu
3744,This bird perched on top of the tree,Nnụnụ a begọlụ n�enu osisi
3745,alight,bekwasị
3746,perch,bekwasị
3747,catch by the leg,be mbe
3748,tree,anụnụ ebe
3749,supposed very poisonous,anụnụ ebe
3750,associated with anụnụ ?,anụnụ ebe
3751,tree,anụnụ
3752,supposed very poisonous,anụnụ
3753,associated with anụnụ ?,anụnụ
3754,tree,anụnụ
3755,supposed very poisonous,anụnụ
3756,associated with anụnụ ?,anụnụ
3757,stop,be
3758,cry,bee
3759,pare,be-cha
3760,peel :,be-cha
3761,He is peeling an orange,Ọ na-ebecha oloma
3762,He is peeling an orange,bacha
3763,bed,beedị
3764,bed,akwa
3765,english,bekee
3766,belt,beelụtụ
3767,live,bi
3768,dwell:,bi
3769,Goodbye,Na-ebi ọfụma
3770,act of dwelling,ọbibi
3771,habitation,ebe ọbibi
3772,dwelling place,ebe ọbibi
3773,occupy another�s house,bichi
3774,live near,bidebe
3775,live too long,bife
3776,live separately,bi iche
3777,dwell in a house till it is old,bika ụnọ
3778,live together,bikọ
3779,living together,mbikọ
3780,live for a long time in one place and become accustomed to it,bimalụ
3781,live far in,bimị
3782,live in peace,bi n�ụdo
3783,harmony,bi n�ụdo
3784,live with,binyelụ
3785,live extending far over an area:,bisa
3786,They live spread out over a wide area,Fa bisa ebisa
3787,wide apart,Fa bisa ebisa
3788,live alone,bisọ
3789,live far away,bite aka
3790,live for long,bite aka
3791,cut,bi
3792,slice,bi
3793,cutting,ọbibi
3794,cut vegetables,bi abụbọ
3795,come,bia
3796,come and eat,bia rie nri
3797,a pen,biki
3798,press,bị
3799,print,bị
3800,printing,ọbịbị
3801,pressing,ọbịbị
3802,print,bị akwụkwọ
3803,type paper,bị akwụkwọ
3804,book,bị akwụkwọ
3805,press down,bịda
3806,reduce,bịda
3807,compress,bịda
3808,press,bịdo
3809,press on,bịdo
3810,Press your hand on your chest,Bịdo aka n�obi ị
3811,lay hands upon,bịkwasị aka
3812,confirm,bịkwasị aka n�isi
3813,greet,bị ọma
3814,greet,ti ọma
3815,publish a book,bịpụta akwụkwọ
3816,take hold of,bịtụ aka
3817,grasp,bịtụ aka
3818,press with hand lightly,bịtụ aka
3819,cut,bị
3820,terminating,ọbịbị
3821,ending,ọbịbị
3822,shorten,bị nkenke
3823,terminate,bị nkenke
3824,bring to an end,bị nkenke
3825,settle a matter,bị okwu
3826,resolve a quarrel,bị okwu
3827,borrow,bị
3828,borrow something,bịli
3829,lend,bịnye
3830,money-lender,onye na-ebịnye egọ
3831,borrowing,mbịbị
3832,borrow,gba mbịbị
3833,go about borrowing,gba mbịbị
3834,He is borrowing money,Ọ na-agba mbịbị egọ
3835,stop,bị-chi
3836,block,bị-chi
3837,prevent,bị-chi
3838,begin,bi-do
3839,beginning,mbido
3840,starting,mbido
3841,beginning of the year,mbido arọ
3842,?She will come at the beginning of the year,Ọ ga-abịa na mbido arọ
3843,opening song,abụ ?mbido
3844,beginning,isi mbido
3845,shout loudly,bị-gbọ
3846,roar,bị-gbọ
3847,bawl at,bị-gbọ
3848,Shout at that child causing confusion,Bịgbọ nwata afụ  na-akpa aghala
3849,please,biko
3850,please,biko
3851,please,bia nwefu efere ndia
3852,come and clear the plates,biko
3853,come and clear the plates,bia nwefu efere ndia
3854,please,biko
3855,please,hicha ulam
3856,clean my room,biko
3857,clean my room,hicha ulam
3858,please,biko
3859,please,m nweriki jitu fone gi?
3860,can I use your phone?,biko
3861,can I use your phone?,m nweriki jitu fone gi?
3862,please take me to,biko
3863,please take me to,nwerem ga
3864,please,biko
3865,please,nwerem je ebe ahu
3866,take me there,biko
3867,take me there,nwerem je ebe ahu
3868,excuse me,biko
3869,excuse me,onye no ebe a?
3870,waiter?,biko
3871,waiter?,onye no ebe a?
3872,excuse me,biko chetu
3873,please don't be angry,biko
3874,please don't be angry,e weli iwe
3875,please,bikọ
3876,I beg you,bikọ
3877,beer,biye
3878,cloudiness,bịlịbịlị
3879,dimness,bịlịbịlị
3880,dawn,bịlịbịli chi
3881,get up,bị-ni
3882,stand up,bịni ọtọ
3883,rise up,bịni ọtọ
3884,resurrection,mbịnite
3885,rising,mbịnite
3886,come,bịa
3887,coming,ọbịbịa
3888,advent,ọbịbịa
3889,Advent,Ọbịbịaa Kraịst
3890,coming or arrival,Ọbịbịaa Kraịst
3891,the coming of Christ,Ọbịbịaa Kraịst
3892,come regularly,bịachi anya
3893,come,bịachịgha
3894,return,bịachịgha
3895,by the way,bịadị
3896,...,bịadị
3897,come nearer,bịaketa
3898,come near to,bịakwute
3899,arrive at,bịalu
3900,reach,bịalu
3901,approach,bịa ṅso
3902,come after,bịa n�azụ
3903,next year,arọ ?na-abịa
3904,next year,arọ ọzọ
3905,come from,sibịa
3906,come,sibịa
3907,squeeze,bịa
3908,compress,bịa
3909,squeezing,ọbịbịa
3910,compressing,ọbịbịa
3911,fill,bịaju
3912,cram,bịakọ
3913,squeeze in,bịakọ
3914,pack together,bịakọ
3915,plunge,bịanye
3916,dip,bịanye
3917,poke,bịanye
3918,squeeze in,bịanye
3919,softness,bịa lịị
3920,smoothness,bịa lịị
3921,put on,bo
3922,load on,bo
3923,help to raise to head,bo
3924,stare at,bo anya
3925,leave scar or mark on,bo apa
3926,overload,bogbu
3927,lift a load onto someone�s head,bo ibu
3928,stare at,bo iru
3929,stare at,bokwasị anya
3930,accuse,bo ebubo
3931,accuse,ebubo
3932,He accused me falsely,O bolu mụ ebubo
3933,break off,gbabo
3934,The rod in the room will break off a piece of the wall,Okpolo igwe dị n'ime ụno ga-agbabo aja
3935,break off,tibo
3936,butter,bota
3937,rake surface,bọ
3938,clear,bọ
3939,dig up,bọ
3940,raking,ọbụbọ
3941,digging,ọbụbọ
3942,scratch,bọ an�
3943,paw the ground,bọ an�
3944,clear a path,bọ ezi
3945,roads,bọ ezi
3946,of weeds,bọ ezi
3947,clear the village square,bọ ilo
3948,gather together,bọkọta
3949,pile up,bọkọta
3950,dig up earth into beds for planting,bọni abọni
3951,exhume a body,bọ ozu
3952,spatter,bọsa
3953,scatter,bọsa
3954,scatter about,bọsasị
3955,divide,bọ
3956,cut up,bọ
3957,break,bọ
3958,Good morning,Ị bọgo chị?
3959,cut out,bọkapụ
3960,divide into pieces,bọkasị
3961,divide into small pieces,bọl�
3962,be inquisitive,bọcha
3963,dig out information,bọcha
3964,pull down the lower eyelids and widen the eyes as a form of mockery,bọ ntọọ ọ
3965,"to imply ""I told you so",bọ ntọọ ọ
3966,""" or ""Just what I expected",bọ ntọọ ọ
3967,"""",bọ ntọọ ọ
3968,revenge,bọ
3969,avenge,bọ
3970,Take revenge for what he did to you,Bọlụ ife o m�lụ gị
3971,take revenge:,bọgwalụ
3972,I have taken revenge for what he did to me,Abọgwalụgo m ife o melụ m
3973,seek revenge with blood,bọ mbọ
3974,These people are going to seek blood revenge,Ndi a jekọ mbọ
3975,avenge,bọ ọbọ
3976,revenge,bọ ọbọ
3977,ball,bọọlụ
3978,dribble a ball,kpa bọọlụ
3979,carry,bu
3980,bear,bu
3981,carrying,ọbubu
3982,bearing,ọbubu
3983,be pregnant,bu afọ ime
3984,fight,bu agha
3985,cause dizziness,bu ajụ
3986,prophesy,bu amụma
3987,bear scar or mark,bu apa
3988,gossip,bu asị je ogbe
3989,a gossip,ọbụ asị eje ogbe
3990,bring down,buda
3991,humble,buda
3992,carry over,bufe
3993,across,bufe
3994,carry to,buga
3995,transport,buga
3996,postpone,bugha
3997,carry badly,bughalị
3998,be mad,bughalị anya
3999,dizzy,bughalị anya
4000,giddy,bughalị anya
4001,place on,bukwasị
4002,carry,bulu
4003,bear,bulu
4004,carry on head,bulu n�isi
4005,undertake,bulu n�isi
4006,be a priest,bu mmụọ
4007,look after deity,bu mmụọ
4008,carry home,buna
4009,lift up,buni enu
4010,carry shoulder-high,buni enu
4011,When he finished the race,Oge ọ gba-sịlị ọsọ fa bụni ya enu
4012,he was carried shoulder-high,Oge ọ gba-sịlị ọsọ fa bụni ya enu
4013,start on a journey,buni ije
4014,be youthful,bu n�isi
4015,in one�s prime,bu n�isi
4016,He is in the bloom of youth,O bụ ume n�isi
4017,know by heart,O bụ ume n�isi
4018,be responsible,O bụ ume n�isi
4019,learn by heart,bu n�ob�
4020,fast,bu ọnụ
4021,carry away,bụpụ
4022,carry out,bupụte
4023,move,buruka
4024,carry aside,buruka
4025,scatter,busa
4026,scatter about,busasị
4027,war against,busọ agha
4028,bring,bute
4029,carry to a great distance,bute aka
4030,catch,bute ọya
4031,make trouble,bu ụka
4032,be dizzy,ajụ
4033,be first,bu isi
4034,lead,bu ụzọ
4035,precede,bu ụzọ
4036,used after another verb,bu ụzọ
4037,before,bu ụzọ
4038,exist before,dịbu
4039,say beforehand,kwubulu
4040,He was once a teacher,Ọ bụb ụ onye nkuzi
4041,Have you been drinking wine before?,ị na-alabu mmanya?
4042,He has bought a goat for me before,ọ zụtabugolu m ewu
4043,be,bu
4044,Britain,buriten
4045,carry,buru
4046,blue,buluu
4047,be large,bụ
4048,stout,bụ
4049,stoutness,ọbụbụ
4050,be stout,bụ ibụ
4051,large,bụ ibụ
4052,flourishing,bụ ibụ
4053,be horrible,bụ isi
4054,be horrified,bụ isi
4055,be big,bụ ogbe
4056,balloon,bụlọbụlo
4057,cat,bụusụ
4058,cat,nwa m ba
4059,cat,nwa onogbọ
4060,be,bụ
4061,I am the leader,Abụ m onye isi
4062,becoming,ọbụbụ
4063,be twins,bụ ejima
4064,be the head,bụgodu isi
4065,be altogether,bụgbado
4066,entirely,bụgbado
4067,be first,bụ isi
4068,in the first place,bụ isi
4069,be both in,bụkọdo
4070,carry both in,bụkọdo
4071,even if,bụlụzịdụ
4072,It would please me if Emeka could pass this year�s examination,Ọ ga-asọ m ma ọ bụlụ na Emeka melụ ọfụma na nnene akwụkwọ arọ a ọ bụlụzịdụ onye ṅke ịkpe azụ
4073,even if he is in the last place,Ọ ga-asọ m ma ọ bụlụ na Emeka melụ ọfụma na nnene akwụkwọ arọ a ọ bụlụzịdụ onye ṅke ịkpe azụ
4074,be namesake,bụ ọgbọ
4075,age-mate,bụ ọgbọ
4076,be a witness,bụ onye osi alị
4077,though,ọ bụ ezịe na
4078,although,ọ bụ ezịe na
4079,Although young,Ọ bụ ezịe na mụ bụ nwata ma enwelụ m uche
4080,I am sensible,Ọ bụ ezịe na mụ bụ nwata ma enwelụ m uche
4081,if,ọ bụlụgodụ
4082,even if,ọ bụlụgodụ
4083,though,ọ bụlụgodụ
4084,Even if they are many I shall be able to provide food that will be sufficient for them,ọ bụlụgodụ na fa r�l� nne aga m enwe ike ịkpata nni gaezụlu fa
4085,if it happens,ọ bụlụzịa
4086,if it later happens,ọ bụlụzịa
4087,If it happens that they come with your brother,ọ bụlụzịa na fa kpọ nwanne gị bịa
4088,If it happens that they come with your brother,solu fa naba
4089,follow them home,ọ bụlụzịa na fa kpọ nwanne gị bịa
4090,follow them home,solu fa naba
4091,therefore,ọ bụ maka ṅke a
4092,hence,ọ bụ maka ṅke a
4093,any,ọbụna
4094,any,ọbụna
4095,every,ọbụna
4096,every,ọbụna
4097,Give me anything,Nye m ife ọbụna
4098,even if,ọ bụna
4099,even if,ọ bụnada
4100,even if,ọ  bụnadụ
4101,even,ọ bụna
4102,even,ọ bụnada
4103,even,ọ  bụnadụ
4104,if,ọ bụna
4105,if,ọ bụnada
4106,if,ọ  bụnadụ
4107,Please give me some food,Biko nye m nni ọ bụnada ṅke oyi
4108,even if it is cold,Biko nye m nni ọ bụnada ṅke oyi
4109,even,ọ bụraba
4110,even if,ọ bụraba
4111,although,ọ bụraba
4112,be it,ọ bụraba
4113,Please give me some money,Biko nye m ego
4114,Please give me some money,ọ bụraba afụ
4115,be it  only a half-kobo,Biko nye m ego
4116,be it  only a half-kobo,ọ bụraba afụ
4117,eject,bụ
4118,project,bụ
4119,spit,bụ asọ
4120,curse,bụ ọnụ
4121,spit,bụ ọnụ mmili
4122,drizzle,bụsa
4123,scramble,bụ
4124,scramble,bụ abụ
4125,get all by scrambling,bụkọ
4126,scramble madly,bụsịsị
4127,There was a great scramble for it,Fa bụs�s�lị abụsịsị
4128,get by scrambling,bụta
4129,scramble,bụ ụbụ
4130,break,bụ
4131,hatch,bụ
4132,break,ụkwa
4133,hatch,ụkwa
4134,My hen will hatch her eggs next month,Ọkụkọ mụ ga-abụ akwa ya n�ọnwa ọzọ
4135,hatching,ọbụbụ
4136,peck open shell,bụ akwa
4137,peck open shell,bụ ụmụ
4138,sing,bụ
4139,sing,bụ abụ
4140,uproot,bụ
4141,He is uprooting a palmtree,Ọ na-abụ nkwụ
4142,uprooting,ọbụbụ
4143,root up,bụ abụ
4144,uproot,bụnite
4145,uproot tree,bụ osisi
4146,quietness,bụụ
4147,colour attribute,cha
4148,emit,cha
4149,be light or reddish-coloured,cha
4150,be an albino,cha anyali?
4151,be yellow in colour,cha edo edo
4152,turn pale,chagha
4153,be light in colour,chaghali
4154,change colour,chaghali
4155,fade,chaghali
4156,be bloodless,chaghali
4157,change expression,chaghali anya
4158,colour of eyes,chaghali anya
4159,change colour,chagha iru
4160,expression,chagha iru
4161,change colour,chaghali anya
4162,expression,chaghali anya
4163,turn grey,cha isi awo?
4164,be reddish orange,cha mmanu mmanu
4165,be ash-grey in colour,cha ntu ntu
4166,be red,cha obala obala
4167,blood-red,cha obala obala
4168,be fair in complexion,cha ocha
4169,be red,cha ufie ufie
4170,be fair in complexion,di ocha
4171,be white,di ocha
4172,clean,di ocha
4173,white,ocha
4174,light-coloured,ocha
4175,whiteness,ocha
4176,light colour be ripe,ocha
4177,as shown by change of colour,ocha
4178,It is ripening,o na-acha acha
4179,be fully ripe,chakpo
4180,be fully ripe,chalo achalo
4181,be over-ripe,chato
4182,ripe  pepper,ose ocha
4183,wash,cha
4184,scrub,cha
4185,clean off,cha
4186,be clean,cha
4187,pure,cha
4188,washing,ochicha
4189,scrubing,ochicha
4190,clean,chacha
4191,wash into,chachanye
4192,heal a sore by washing,chagbu onya
4193,wash off,chapu
4194,wash,wucha
4195,wash clean,wucha
4196,cleanse,wucha
4197,wash  thoroughly,wuchapu
4198,wash thoroughly,wuchaputa
4199,shine,cha
4200,shine,mu
4201,scorching,ochicha
4202,beating,ochicha
4203,The sun shone,Anwu chalu
4204,dazzle:,chachi
4205,The sun dazzled me,Anwu chachili m anya
4206,cause to wither,chagbu
4207,scorch,chagbu
4208,flare up,chani
4209,blaze,chani
4210,force away by heat,chani
4211,wither,chanwu
4212,be red-hot,cha oku
4213,open up,cha
4214,reveal,cha
4215,open eyes wide,chalapu anya
4216,stare at,chalapu anya
4217,look sternly at,chalapu anya
4218,lie flat on the back,chalu aba
4219,be apparent,cha n'anwu
4220,obvious,cha n'anwu
4221,conspicuous,cha n'anwu
4222,partial :,cha
4223,Bite off a little bit,Tachalu nwantinti
4224,Slap him gently,Tichalu ya
4225,Are you taking liberties with me by slapping me?,I na-etichalu m abu m oyi gi?
4226,Snatch the book from her,Nachalu ya akwukwo
4227,Please help me by blowing something out from my eye,Biko fuchapu m ife daba m n'anya
4228,thoroughness,cha
4229,surpass entirely,kachasi
4230,surpass entirely,kasi
4231,hear well,nucha
4232,hear well,nu
4233,pour all into,ruchanye
4234,pour all into,runye
4235,give place,cha
4236,give way,cha
4237,let one pass,chalu n'uzo
4238,give way to,chalu n'uzo
4239,go aside,cha n'uso
4240,give way,cha n'uso
4241,cut,cha
4242,more commonly used,gbube
4243,more commonly used,be
4244,cut cloth,cha akwa
4245,cut paper,cha akwukwo
4246,cut rope,cha elili
4247,Black Velvet tamarind,chaleku
4248,Black Velvet tamarind,Ichekpu
4249,Black Velvet tamarind,nchi-chi
4250,Black Velvet tamarind,mbacheleku
4251,indian Tamarind,icheku oyịbo
4252,dane-gun,cham
4253,yield,cham uzo
4254,wait,che
4255,watch for,che
4256,watch over,che
4257,protect,che
4258,guard,che
4259,shelter,che
4260,waiting,ochiche
4261,preserving,ochiche
4262,protecting,ochiche
4263,guard,chebe
4264,guard,-chelu
4265,keep,chebe
4266,keep,-chelu
4267,preserve,chebe
4268,preserve,-chelu
4269,i listen,chebe nt
4270,protect,chedo
4271,shelter,chedo
4272,defence,nchedo
4273,protection,nchedo
4274,sheltering,nchedo
4275,hold water,chedo mmili
4276,be opposite,che iru
4277,wait a long time,chekata
4278,look after,chekwa
4279,take care of,chekwa
4280,bear malice,chekwa iwe
4281,save,chekwata
4282,saving,nchekwata
4283,keep watch,che nche
4284,watch,che nche
4285,keep vigil,che nche
4286,He keeps watch,O na-eche nche
4287,He keeps vigil,O na-eche nche
4288,It will be watched,A ga-eche ya nche
4289,act as regent,che ndo
4290,administer during interregnum,che ndo
4291,listen,che nti
4292,wait a long time,cheraba
4293,shepherds,ndi nche atulu
4294,umbrella,oche anwu
4295,sunshade,oche anwu
4296,anything giving shade,oche ndo
4297,male name,Orananche
4298,present,che
4299,offer,che
4300,face,che iru
4301,face,chelita
4302,facing,nchelita
4303,opposing,nchelita
4304,opposite,nchel?ta iru
4305,facing,nchel?ta iru
4306,present,che n'iru
4307,place before,che n'iru
4308,give kola,che oji
4309,praying mantis,oche ogu
4310,think,che
4311,ponder,che
4312,meditate,che
4313,thinking,ochiche
4314,pondering,ochiche
4315,meditating,ochiche
4316,think,che echiche
4317,think deeply on an abstract problem,che echiche
4318,ponder,che echiche
4319,meditate,che echiche
4320,forget,chefu
4321,worry,chegbu
4322,care,chegbu
4323,be anxious,chegbu
4324,reconsider,cheghali
4325,repent,cheghali
4326,repentance,ncheghali
4327,worry greatly,nchekasi
4328,wear out oneself with thinking,nchekasi
4329,anxiety,nchekasi
4330,care,nchekasi
4331,worry,nchekasi
4332,trust,chekwube
4333,trust,nchekwube
4334,confidence,nchekwube
4335,trustworthiness,nchekwube
4336,faithfulness,nchekwube
4337,remember,cheta
4338,memorial,ncheta
4339,remembrance,ncheta
4340,memorial song,abu ncheta
4341,memorial,ife ncheta
4342,think,che uche
4343,wonder,che uche
4344,doubt,che uche
4345,be perplexed,che uche
4346,forget,chezo
